X,y
-2.0,6.764052345967664
-1.9919839679358717,5.428213320591672
-1.9839679358717435,6.034850208554636
-1.9759519038076152,7.325061535874805
-1.967935871743487,6.979782439047764
-1.9599198396793587,4.163002681245834
-1.9519038076152304,6.118425090872283
-1.9438877755511021,5.0450355772734445
-1.9358717434869739,5.121230046002034
-1.9278557114228456,5.663103511958412
-1.9198396793587174,5.424604693405366
-1.911823647294589,6.762890741431914
-1.9038076152304608,6.09771107184038
-1.8957915831663326,5.486404475410664
-1.8877755511022045,5.8366488038877105
-1.8797595190380763,5.754516010741
-1.871743486973948,6.942976868748788
-1.8637274549098197,5.2717956440498295
-1.8557114228456915,5.818077721690981
-1.8476953907815632,4.678970392962804
-1.839679358717435,3.008132428654899
-1.8316633266533067,6.242796952153787
-1.8236472945891784,6.481670667797381
-1.8156312625250501,4.903125560755883
-1.8076152304609219,7.943101317374381
-1.7995991983967936,4.2470371310124575
-1.7915831663326653,5.775217435137118
-1.783567134268537,5.5703311800342865
-1.7755511022044088,7.318350356643027
-1.7675350701402806,7.282986024409302
-1.7595190380761523,5.996630792430383
-1.751503006012024,6.247901998560089
-1.7434869739478958,5.010009843552252
-1.7354709418837675,3.9450552351828865
-1.7274549098196392,5.605995666305111
-1.719438877755511,6.138312896959691
-1.711422845691383,7.24031072080788
-1.7034068136272547,7.2404560010890195
-1.6953907815631264,5.678805447121105
-1.6873747494989981,5.791885626178171
-1.6793587174348699,5.073691523910862
-1.6713426853707416,4.73028266402343
-1.6633266533066133,4.472086522801841
-1.655310621242485,8.157188220883093
-1.6472945891783568,5.724816756124097
-1.6392785571142285,5.824450748489014
-1.6312625250501003,5.037785802274723
-1.623246492985972,7.096127630381008
-1.6152304609218437,4.732795539215595
-1.6072144288577155,6.162009218784028
-1.5991983967935872,5.50733905002877
-1.591182364729459,6.817764221306156
-1.5831663326653307,5.948112698102469
-1.5751503006012024,5.3063417637733785
-1.5671342685370742,6.486847831781586
-1.559118236472946,6.971418042875107
-1.5511022044088176,6.637659506952306
-1.5430861723446894,6.901670294533369
-1.535070140280561,5.992932415337073
-1.5270541082164328,6.292569455255347
-1.5190380761523046,6.010906285690982
